date,symbol,name,open,high,low,close,adj_close,volume,return_1d,return_7d,return_30d,log_return_1d,sma_7,sma_30,sma_90,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_mid_20,bb_upper,bb_lower,bb_width,atr_14,volatility_30d,hl_range_pct,volume_sma_7,close_btc_ratio,feargreed_value,feargreed_class,mkt_sp500,mkt_nasdaq,mkt_gold,mkt_oil,mkt_vix,mkt_us10y,mkt_dxy,btc_hashrate_thps,btc_difficulty,btc_n_transactions,btc_active_addresses,btc_est_tx_volume_usd,btc_miner_revenue_usd,btc_tx_fees_usd,btc_circulating_supply,year,month,day_of_week,is_weekend
2017-11-09,ADA,Cardano,0.02516,0.03506,0.025006,0.032053,0.032053,18716200,,,,,,,,0.032053,0.032053,,0.0,0.0,0.0,,,,,,,31.36679667,,4.49e-06,,,2584.62011719,6750.04980469,1285.59997559,57.16999817,10.5,2.33100009,94.44000244,11049821.7439423,1452839779145.0,341281.0,727946.0,2366841243.84241,16678466.0012752,2653878.50127518,16673000.0,2017,11,3,0
2017-11-10,ADA,Cardano,0.032219,0.033348,0.026451,0.027119,0.027119,6766780,-0.1539326,,,-0.16715625,,,,0.03129392,0.03168752,,-0.0003936,-7.872e-05,-0.00031488,,,,,,,25.43236322,,4.1e-06,,,2582.30004883,6750.93994141,1272.40002441,56.74000168,11.28999996,2.4000001,94.38999939,8139094.7449613,1423367213138.33,271745.0,619944.0,2022293930.14445,12713071.4989362,2226673.57449544,16674500.0,2017,11,4,0
2017-11-11,ADA,Cardano,0.026891,0.029659,0.025684,0.027437,0.027437,5532220,0.0117261,,,0.01165788,,,,0.03070055,0.03137267,,-0.00067212,-0.0001974,-0.00047472,,,,,,,14.48772981,,4.32e-06,,,2582.30004883,6750.93994141,1272.40002441,56.74000168,11.28999996,2.4000001,94.38999939,5426063.16330753,1364422081125.0,197081.0,459977.0,1401933562.52815,8785091.45149512,2122954.68046365,16675512.5,2017,11,5,1
2017-11-12,ADA,Cardano,0.02748,0.027952,0.022591,0.023977,0.023977,7280250,-0.12610706,,,-0.1347974,,,,0.02966616,0.03082484,,-0.00115868,-0.00038965,-0.00076903,,,,,,,22.35892737,,4.03e-06,,,2582.30004883,6750.93994141,1272.40002441,56.74000168,11.28999996,2.4000001,94.38999939,5426063.16330753,1364422081125.0,183519.0,463412.0,1946782857.0861,9479344.92774956,3495448.32867095,16676500.0,2017,11,6,1
2017-11-13,ADA,Cardano,0.024364,0.0263,0.023495,0.025808,0.025808,4419440,0.0763648,,,0.07358944,,,,0.0290726,0.03045322,,-0.00138063,-0.00058785,-0.00079278,,,,,,,10.86872393,,3.93e-06,,,2584.84008789,6757.60009766,1277.30004883,56.75999832,11.5,2.4000001,94.48999786,9495610.53578818,1364422081125.0,309299.0,694905.0,2070829566.4518,16209519.4612957,4999532.24721179,16678250.0,2017,11,0,0
2017-11-14,ADA,Cardano,0.025797,0.026788,0.025342,0.02623,0.02623,3033290,0.01635155,,,0.01621931,,,,0.02863527,0.03014039,,-0.00150512,-0.0007713,-0.00073381,,,,,,,5.51276924,,3.95e-06,,,2578.87011719,6737.87011719,1281.5,55.70000076,11.59000015,2.38100004,93.83000183,8681701.06129205,1364422081125.0,271995.0,604148.0,1841446048.5940297,14792712.3267353,4087483.47519606,16679850.0,2017,11,1,0
2017-11-15,ADA,Cardano,0.026116,0.027773,0.025261,0.026445,0.026445,6858800,0.0081967,,,0.00816329,0.02700986,,,0.02829831,0.02986666,,-0.00156835,-0.00093071,-0.00063764,,,,,,,9.49896218,7515282.85714286,3.61e-06,,,2564.62011719,6706.20996094,1276.5,55.33000183,13.13000011,2.33500004,93.80999756,10309520.0102843,1364422081125.0,321788.0,709294.0,2274507065.39276,17885007.8421946,4328589.0085673,16681750.0,2017,11,2,0
2017-11-16,ADA,Cardano,0.026583,0.02817,0.025654,0.02758,0.02758,4888130,0.0429193,-0.13955014,,0.0420238,0.02637086,,,0.0281878,0.02969728,,-0.00150948,-0.00104646,-0.00046301,,,,,,,9.12255773,5539844.28571429,3.5e-06,,,2585.63989258,6793.29003906,1277.40002441,55.13999939,11.76000023,2.36100006,93.93000031,10309520.0102843,1364422081125.0,310396.0,677402.0,2257254596.5816,17978355.3482826,3762661.59828264,16683650.0,2017,11,3,0
2017-11-17,ADA,Cardano,0.027143,0.027436,0.025184,0.025773,0.025773,3578870,-0.06551851,-0.04963308,,-0.06776346,0.02617857,,,0.02781629,0.02940659,,-0.0015903,-0.00115523,-0.00043507,,,,,,,8.73782429,5084428.57142857,3.34e-06,,,2578.85009766,6782.79003906,1295.80004883,56.54999924,11.43000031,2.35400009,93.66000366,11326906.8534045,1364422081125.0,306617.0,684299.0,2848162964.48163,19741865.1639389,3186513.11135271,16685737.5,2017,11,4,0
2017-11-18,ADA,Cardano,0.025597,0.027122,0.024748,0.026369,0.026369,2930550,0.02312497,-0.03892553,,0.02286164,0.026026,,,0.02759363,0.02918158,,-0.00158795,-0.00124178,-0.00034618,,,,,,,9.00299921,4712761.42857143,3.38e-06,,,2578.85009766,6782.79003906,1295.80004883,56.54999924,11.43000031,2.35400009,93.66000366,9224307.3776228,1364422081125.0,270874.0,614840.0,1967731645.24613,15573684.4202293,2271701.56678967,16687437.5,2017,11,5,1
2017-11-19,ADA,Cardano,0.026243,0.028478,0.025581,0.028084,0.028084,4725050,0.06503852,0.17128916,,0.06301097,0.02661271,,,0.02766907,0.02910028,,-0.00143121,-0.00127966,-0.00015155,,,,,,,10.3154817,4347732.85714286,3.49e-06,,,2578.85009766,6782.79003906,1295.80004883,56.54999924,11.43000031,2.35400009,93.66000366,10852126.3266151,1364422081125.0,264855.0,603430.0,1585417383.6024997,17836891.9126454,1950293.49139473,16689437.5,2017,11,6,1
2017-11-20,ADA,Cardano,0.028152,0.0323,0.027612,0.029581,0.029581,16172400,0.05330432,0.14619499,,0.0519322,0.02715171,,,0.02796322,0.02913589,,-0.00117267,-0.00125826,8.559e-05,,,,,,,15.84800573,6026727.14285714,3.61e-06,,,2582.13989258,6790.70996094,1274.59997559,56.09000015,10.64999962,2.37199998,94.08000183,11869513.1697352,1364422081125.0,336204.0,734768.0,2388363838.52045,20867770.6104635,2699608.37113705,16691625.0,2017,11,0,0
2017-11-21,ADA,Cardano,0.029587,0.029709,0.027404,0.02833,0.02833,5836790,-0.04229063,0.08006101,,-0.04321092,0.02745171,,,0.02801964,0.02907619,,-0.00105655,-0.00121792,0.00016137,,,,,,,8.13625489,6427227.14285714,3.51e-06,,,2599.0300293,6862.47998047,1281.09997559,56.83000183,9.72999954,2.36299992,93.94999695,11733861.5906525,1364422081125.0,371091.0,753814.0,2632881286.5975,20674487.3514705,2564518.2893872,16693787.5,2017,11,1,0
2017-11-22,ADA,Cardano,0.028399,0.029034,0.027891,0.028549,0.028549,4938480,0.00773034,0.0795614,,0.00770061,0.02775229,,,0.02810108,0.02903714,,-0.00093606,-0.00116155,0.00022549,,,,,0.00366921,,4.00363982,6152895.71428572,3.46e-06,,,2597.08007812,6867.35986328,1291.59997559,58.02000046,9.88000011,2.32200003,93.22000122,8342572.11358533,1364422081125.0,312033.0,673819.0,2033543436.7307003,17481272.6055298,2114533.29714738,16695637.5,2017,11,2,0
2017-11-23,ADA,Cardano,0.02854,0.028678,0.027444,0.027444,0.027444,5132300,-0.03870542,-0.00493115,,-0.03947439,0.02773286,,,0.02799999,0.02891913,38.76127432,-0.00091914,-0.00111307,0.00019393,,,,,0.00303921,,4.49643119,6187777.14285714,3.41e-06,,,2597.08007812,6867.35986328,1291.59997559,58.02000046,9.88000011,2.32200003,93.22000122,10648648.957991,1364422081125.0,352207.0,747162.0,2481622640.96218,18447902.2439344,2203950.72252536,16697600.0,2017,11,3,0
2017-11-24,ADA,Cardano,0.027406,0.028597,0.026963,0.028382,0.028382,5502350,0.0341787,0.10122995,,0.03360758,0.02810557,,,0.02805876,0.02887934,53.82518643,-0.00082058,-0.00105457,0.00023399,,,,,0.00266329,,5.75716966,6462560.0,3.44e-06,,,2602.41992188,6889.16015625,1286.69995117,58.95000076,9.67000008,2.33999991,92.76000214,9977010.84137572,1361966821649.11,305735.0,698359.0,2685926757.31595,17352431.9783599,1911321.92191824,16699462.5,2017,11,4,0
2017-11-25,ADA,Cardano,0.028324,0.030447,0.027747,0.030447,0.030447,6156460,0.07275742,0.15465133,,0.07023236,0.02868814,,,0.02842618,0.02899547,58.24386733,-0.00056928,-0.00095751,0.00038823,,,,,0.00257221,,8.86787186,6923404.28571428,3.46e-06,,,2602.41992188,6889.16015625,1286.69995117,58.95000076,9.67000008,2.33999991,92.76000214,10445729.4715075,1347001430558.0,336689.0,697526.0,2302620556.51406,18139440.136098,1654673.31888089,16701412.5,2017,11,5,1
2017-11-26,ADA,Cardano,0.030437,0.039855,0.030118,0.036332,0.036332,30527100,0.19328667,0.29369033,,0.17671141,0.02986643,,,0.02964246,0.02953891,79.87041013,0.00010355,-0.0007453,0.00084885,,,,,0.00288479,,26.80006566,10609411.42857143,3.89e-06,,,2602.41992188,6889.16015625,1286.69995117,58.95000076,9.67000008,2.33999991,92.76000214,10244850.0585939,1347001430558.0,329677.0,712607.0,2290199012.39789,19771137.9101486,1781026.08074635,16703325.0,2017,11,6,1
2017-11-27,ADA,Cardano,0.036619,0.057127,0.036619,0.050593,0.050593,77777296,0.39251899,0.71032086,,0.33111433,0.03286814,,,0.03286562,0.03109848,87.42713768,0.00176715,-0.00024281,0.00200996,,,,,0.00416979,,40.53524955,19410110.85714286,5.15e-06,,,2601.41992188,6878.52001953,1293.80004883,58.11000061,9.86999989,2.32800007,92.90000153,11383166.7317709,1347001430558.0,379256.0,829651.0,3382462034.2421103,22731345.2947229,2277109.06148339,16705450.0,2017,11,0,0
2017-11-28,ADA,Cardano,0.050627,0.13173001,0.047949,0.119744,0.119744,240338000,1.3668097,3.22675617,,0.86154293,0.04592729,,,0.04623153,0.03766481,95.91221469,0.00856672,0.0015191,0.00704762,0.03381385,0.07582144,-0.00819374,2.48463784,0.01005086,,69.96676408,52910283.71428572,1.19e-05,,,2627.04003906,6912.35986328,1294.69995117,57.99000168,10.02999973,2.33800006,93.26000214,10445729.4715075,1347001430558.0,365977.0,816745.0,3229165153.44708,21683705.0389404,2422847.62826291,16707400.0,2017,11,1,0
2017-11-29,ADA,Cardano,0.118235,0.146906,0.081436,0.089718,0.089718,210624992,-0.25075163,2.14259684,,-0.28868475,0.05466571,,,0.05292175,0.0415206,74.03057915,0.01140115,0.00349551,0.00790564,0.0366971,0.08555336,-0.01215916,2.66267695,0.01454786,,72.97309709,82294071.14285715,9.07e-06,,,2626.07006836,6824.39013672,1282.09997559,57.29999924,10.69999981,2.37599993,93.26000214,11584046.1446846,1347001430558.0,398090.0,903005.0,4301831779.47883,26294380.2040648,3123773.98414658,16709562.5,2017,11,2,0
2017-11-30,ADA,Cardano,0.09493,0.12830301,0.09493,0.119883,0.119883,124345000,0.33622018,3.36827734,,0.28984487,0.06787129,,,0.06322348,0.04732522,78.72243609,0.01589826,0.00597606,0.0099222,0.0413353,0.10244062,-0.01977002,2.9565682,0.01712422,,27.83797991,99324456.85714287,1.171e-05,,,2647.58007812,6873.97021484,1273.19995117,57.40000153,11.27999973,2.41700006,93.01000214,11182287.3188573,1347001430558.0,384386.0,851420.0,3446153829.33153,23742417.1937056,2715543.30444149,16711650.0,2017,11,3,0
2017-12-01,ADA,Cardano,0.116622,0.13135201,0.113031,0.13135201,0.13135201,73657600,0.09566833,3.62800399,,0.09136452,0.08258129,,,0.0737048,0.05354943,80.99011932,0.02015537,0.00881192,0.01134345,0.04653105,0.11923197,-0.02616987,3.12483463,0.01826172,,13.94802246,109060921.14285713,1.197e-05,,,2642.2199707,6847.58984375,1278.80004883,58.36000061,11.43000031,2.36199999,92.90000153,12253644.1877299,1347001430558.0,412908.0,869275.0,2503164990.16471,25856448.1705625,2523605.5165762,16713937.5,2017,12,4,0
2017-12-02,ADA,Cardano,0.131633,0.138869,0.129132,0.132351,0.132351,56712600,0.00760543,3.34693051,,0.00757666,0.097139,,,0.08272729,0.05938658,81.03498579,0.0233407,0.01171768,0.01162303,0.05194975,0.13322238,-0.02932288,3.12889407,0.01878764,,7.35695246,116283226.85714287,1.195e-05,,,2642.2199707,6847.58984375,1278.80004883,58.36000061,11.43000031,2.36199999,92.90000153,10780528.4930301,1347001430558.0,326354.0,683883.0,1962210937.132,24108052.6110006,2084782.73600058,16715950.0,2017,12,5,1
2017-12-03,ADA,Cardano,0.132351,0.13922,0.124945,0.131807,0.131807,46458900,-0.00411026,2.62784871,,-0.00411873,0.11077829,,,0.09027801,0.06475106,80.5832224,0.02552695,0.01447953,0.01104742,0.0572497,0.14491761,-0.03041821,3.06265032,0.01960036,,10.83022871,118559198.28571428,1.164e-05,,,2642.2199707,6847.58984375,1278.80004883,58.36000061,11.43000031,2.36199999,92.90000153,11784925.5575982,1347001430558.0,353044.0,762993.0,2065023836.1632,27678238.9264086,2209646.0137761,16718150.0,2017,12,6,1
2017-12-04,ADA,Cardano,0.13154601,0.145946,0.12635,0.13586999,0.13586999,76392704,0.03082534,1.68554929,,0.03035978,0.12296071,,,0.09729216,0.07001913,80.87265599,0.02727304,0.01703823,0.0102348,0.0627317,0.15577926,-0.03031586,2.96652428,0.02066522,,14.42260713,118361399.42857143,1.166e-05,,,2639.43994141,6775.37011719,1274.30004883,57.47000122,11.68000031,2.37899995,93.19000244,12119724.5791208,1347001430558.0,400686.0,885110.0,2600783556.45554,28891001.9578248,2628671.19487894,16720412.5,2017,12,0,0
2017-12-05,ADA,Cardano,0.135625,0.13640399,0.12677699,0.127488,0.127488,50381100,-0.06169127,0.06467129,,-0.06367625,0.124067,,,0.10193768,0.07427608,77.65574305,0.0276616,0.01916291,0.00849869,0.06778385,0.16347078,-0.02790308,2.82329581,0.02118822,,7.55129842,91224699.42857143,1.07e-05,,,2629.57006836,6762.20996094,1261.59997559,57.61999893,11.32999992,2.35599995,93.37999725,11918845.1662072,1347001430558.0,405709.0,891236.0,2657542627.73794,29210388.2872577,2608177.87031886,16722637.5,2017,12,1,0
2017-12-06,ADA,Cardano,0.126748,0.132855,0.113886,0.117839,0.117839,75688800,-0.07568556,0.31343769,,-0.07870296,0.12808429,,,0.10438403,0.07750296,73.65899799,0.02688107,0.02070654,0.00617453,0.0722968,0.16851233,-0.02391873,2.66168144,0.0224615,,16.09738644,71948100.57142857,8.25e-06,,,2629.27001953,6776.37988281,1262.80004883,55.95999908,11.02000046,2.32999992,93.61000061,14867776.0589056,1407975304733.0,443587.0,978252.0,3394252519.1037903,33116592.8460115,3264282.32250783,16724987.5,2017,12,2,0
